info_type,short_code,std_code,name
1,|A01603|K,R4A01630008|,F 202603| |00000.00|2|2001|KOSPI200
1,|A01606|K,R4A01660005|,F 202606| |00000.00|3|2001|KOSPI200
1,|A01609|K,R4A01690002|,F 202609| |00000.00|4|2001|KOSPI200
1,|A01612|K,R4A016C0004|,F 202612| |00000.00|5|2001|KOSPI200
1,|A01706|K,R4A01760003|,F 202706| |00000.00|6|2001|KOSPI200
1,|A01712|K,R4A017C0003|,F 202712| |00000.00|7|2001|KOSPI200
7,|A04601|K,R4A04610007|,변동성F 202601| |00000.00|2|0503|VKOSPI
7,|A04602|K,R4A04620006|,변동성F 202602| |00000.00|3|0503|VKOSPI
7,|A04603|K,R4A04630005|,변동성F 202603| |00000.00|4|0503|VKOSPI
7,|A04604|K,R4A04640004|,변동성F 202604| |00000.00|5|0503|VKOSPI
7,|A04605|K,R4A04650003|,변동성F 202605| |00000.00|6|0503|VKOSPI
B,|A05601|K,R4A05610006|,미니F 202601| |00000.00|2|2001|KOSPI200
B,|A05602|K,R4A05620005|,미니F 202602| |00000.00|3|2001|KOSPI200
B,|A05603|K,R4A05630004|,미니F 202603| |00000.00|4|2001|KOSPI200
B,|A05604|K,R4A05640003|,미니F 202604| |00000.00|5|2001|KOSPI200
B,|A05605|K,R4A05650002|,미니F 202605| |00000.00|6|2001|KOSPI200
3,|A06603|K,R4A06630003|,코스닥150F 202603| |00000.00|2|3003|KSQ1
3,|A06606|K,R4A06660000|,코스닥150F 202606| |00000.00|3|3003|KSQ1
3,|A06609|K,R4A06690007|,코스닥150F 202609| |00000.00|4|3003|KSQ1
3,|A06612|K,R4A066C0003|,코스닥150F 202612| |00000.00|5|3003|KSQ1
3,|A06706|K,R4A06760008|,코스닥150F 202706| |00000.00|6|3003|KSQ1
3,|A06712|K,R4A067C0002|,코스닥150F 202712| |00000.00|7|3003|KSQ1
H,|A08603|K,R4A08630001|,KRX300F 202603| |00000.00|2|4300|KRX 300
H,|A08606|K,R4A08660008|,KRX300F 202606| |00000.00|3|4300|KRX 300
H,|A08609|K,R4A08690005|,KRX300F 202609| |00000.00|4|4300|KRX 300
9,|AA0603|K,R4AA0630009|,에너지화학F 202603| |00000.00|2|2012|K에
9,|AA0606|K,R4AA0660006|,에너지화학F 202606| |00000.00|3|2012|K에
9,|AA0609|K,R4AA0690003|,에너지화학F 202609| |00000.00|4|2012|K에
9,|AA1603|K,R4AA1630008|,정보기술F 202603| |00000.00|2|2013|K정보
9,|AA1606|K,R4AA1660005|,정보기술F 202606| |00000.00|3|2013|K정보
9,|AA1609|K,R4AA1690002|,정보기술F 202609| |00000.00|4|2013|K정보
9,|AA2603|K,R4AA2630007|,금융F 202603| |00000.00|2|2014|K금융
9,|AA2606|K,R4AA2660004|,금융F 202606| |00000.00|3|2014|K금융
9,|AA2609|K,R4AA2690001|,금융F 202609| |00000.00|4|2014|K금융
9,|AA3603|K,R4AA3630006|,경기소비재F 202603| |00000.00|2|2016|K경
9,|AA3606|K,R4AA3660003|,경기소비재F 202606| |00000.00|3|2016|K경
9,|AA3609|K,R4AA3690000|,경기소비재F 202609| |00000.00|4|2016|K경
9,|AA4603|K,R4AA4630005|,고배당50   F 202603| |00000.00|2|0163|고
9,|AA4606|K,R4AA4660002|,고배당50   F 202606| |00000.00|3|0163|고
9,|AA4609|K,R4AA4690009|,고배당50   F 202609| |00000.00|4|0163|고
9,|AA5603|K,R4AA5630004|,배당성장50 F 202603| |00000.00|2|0164|배
9,|AA5606|K,R4AA5660001|,배당성장50 F 202606| |00000.00|3|0164|배
9,|AA5609|K,R4AA5690008|,배당성장50 F 202609| |00000.00|4|0164|배
9,|AA6603|K,R4AA6630003|,건설F 202603| |00000.00|2|2009|K건설
9,|AA6606|K,R4AA6660000|,건설F 202606| |00000.00|3|2009|K건설
9,|AA6609|K,R4AA6690007|,건설F 202609| |00000.00|4|2009|K건설
9,|AA7603|K,R4AA7630002|,중공업F 202603| |00000.00|2|2010|K중공업
9,|AA7606|K,R4AA7660009|,중공업F 202606| |00000.00|3|2010|K중공업
9,|AA7609|K,R4AA7690006|,중공업F 202609| |00000.00|4|2010|K중공업
9,|AA8603|K,R4AA8630001|,헬스케어F 202603| |00000.00|2|2018|K헬스
9,|AA8606|K,R4AA8660008|,헬스케어F 202606| |00000.00|3|2018|K헬스
9,|AA8609|K,R4AA8690005|,헬스케어F 202609| |00000.00|4|2018|K헬스
9,|AA9603|K,R4AA9630000|,철강소재   F 202603| |00000.00|2|2011|K
9,|AA9606|K,R4AA9660007|,철강소재   F 202606| |00000.00|3|2011|K
9,|AA9609|K,R4AA9690004|,철강소재   F 202609| |00000.00|4|2011|K
9,|AAA603|K,R4AAA630005|,생활소비재 F 202603| |00000.00|2|2015|K
9,|AAA606|K,R4AAA660002|,생활소비재 F 202606| |00000.00|3|2015|K
9,|AAA609|K,R4AAA690009|,생활소비재 F 202609| |00000.00|4|2015|K
9,|AAB603|K,R4AAB630004|,산업재     F 202603| |00000.00|2|2017|K
9,|AAB606|K,R4AAB660001|,산업재     F 202606| |00000.00|3|2017|K
9,|AAB609|K,R4AAB690008|,산업재     F 202609| |00000.00|4|2017|K
9,|AAC603|K,R4AAC630003|,BBIG           F 202603| |00000.00|2|441
9,|AAC606|K,R4AAC660000|,BBIG           F 202606| |00000.00|3|441
9,|AAC609|K,R4AAC690007|,BBIG           F 202609| |00000.00|4|441
9,|AAD603|K,R4AAD630002|,2차전지 TOP 10 F 202603| |00000.00|2|441
9,|AAD606|K,R4AAD660009|,2차전지 TOP 10 F 202606| |00000.00|3|441
9,|AAD609|K,R4AAD690006|,2차전지 TOP 10 F 202609| |00000.00|4|441
9,|AAE603|K,R4AAE630001|,바이오 TOP 10  F 202603| |00000.00|2|441
9,|AAE606|K,R4AAE660008|,바이오 TOP 10  F 202606| |00000.00|3|441
9,|AAE609|K,R4AAE690005|,바이오 TOP 10  F 202609| |00000.00|4|441
9,|AAG603|K,R4AAG630009|,코스닥글로벌 F 202603| |00000.00|2|1049|
9,|AAG606|K,R4AAG660006|,코스닥글로벌 F 202606| |00000.00|3|1049|
9,|AAG609|K,R4AAG690003|,코스닥글로벌 F 202609| |00000.00|4|1049|
9,|AAH603|K,R4AAH630008|,코리아밸류업 F 202603| |00000.00|2|4446|
9,|AAH606|K,R4AAH660005|,코리아밸류업 F 202606| |00000.00|3|4446|
9,|AAH609|K,R4AAH690002|,코리아밸류업 F 202609| |00000.00|4|4446|
9,|AAL603|K,R4AAL630002|,반도체F 202603| |00000.00|2|4003|KRX 반
9,|AAL606|K,R4AAL660009|,반도체F 202606| |00000.00|3|4003|KRX 반
9,|AAL609|K,R4AAL690006|,반도체F 202609| |00000.00|4|4003|KRX 반
5,|201W1217,0|KR4201WC17,03|C 202512 170.0|2|00170.00| |2001|KOSP
5,|201W1217,2|KR4201WC17,29|C 202512 172.5|2|00172.50| |2001|KOSP
