short_code,std_code,name
52L903,KRA521108FB6,미래L903삼성전자콜
52L904,KRA521109FB4,미래L904삼성전자콜
52L905,KRA521110FB2,미래L905삼성전자콜
52L906,KRA521211FB8,미래L906삼성전자풋
52L907,KRA521212FB6,미래L907삼성전자풋
52L908,KRA521213FB4,미래L908삼성전자풋
52L909,KRA521114FB4,미래L909네이버콜
52L910,KRA521115FB1,미래L910네이버콜
52L911,KRA521116FB9,미래L911네이버콜
52L912,KRA521117FB7,미래L912네이버콜
52L913,KRA521118FB5,미래L913카카오콜
52L914,KRA521119FB3,미래L914카카오콜
52L915,KRA521120FB1,미래L915셀트리온콜
52L916,KRA521121FB9,미래L916셀트리온콜
52L917,KRA521222FB5,미래L917셀트리온풋
52L918,KRA521123FB5,미래L918신한지주콜
52L919,KRA521124FB3,미래L919HMM콜
52L920,KRA521125FB0,미래L920HMM콜
52L921,KRA521126FB8,미래L921HMM콜
52L922,KRA521127FB6,미래L922기아콜
52L923,KRA521128FB4,미래L923하이브콜
52L924,KRA521129FB2,미래L924모비스콜
52L925,KRA521130FB0,미래L925모비스콜
52L926,KRA521131FB8,미래L926모비스콜
52L927,KRA521132FB6,미래L927모비스콜
52L930,KRA521135FB9,미래L930현대차콜
52L931,KRA521136FB7,미래L931삼성중콜
52L932,KRA521137FB5,미래L932SK하이닉콜
52L933,KRA521138FB3,미래L933SK하이닉콜
52L934,KRA521239FB9,미래L934SK하이닉풋
52L935,KRA521240FB7,미래L935SK하이닉풋
52L936,KRA521141FB7,미래L936현대건설콜
52L937,KRA521142FB5,미래L937LG에너지콜
52L938,KRA521143FB3,미래L938LG에너지콜
52L939,KRA521144FB1,미래L939KB금융콜
52L940,KRA521145FB8,미래L940한화솔루콜
52L941,KRA521146FB6,미래L941한화솔루콜
52L942,KRA521147FB4,미래L942한화솔루콜
52L943,KRA521148FB2,미래L943한화솔루콜
52L944,KRA521149FB0,미래L944카카페이콜
52L945,KRA521150FB8,미래L945카카페이콜
52L946,KRA521151FB6,미래L946카카페이콜
52L947,KRA521152FB4,미래L947두산에너콜
52L948,KRA521153FB2,미래L948에이피알콜
52L949,KRA521154FB0,미래L949에이피알콜
52L950,KRA521155FB7,미래L950에이피알콜
52L951,KRA521156FB5,미래L951에이피알콜
52L952,KRA521157FB3,미래L952한국조선콜
52L953,KRA521158FB1,미래L953한국조선콜
52L954,KRA521159FB9,미래L954한국조선콜
52L955,KRA521160FB7,미래L955한국항공콜
52L956,KRA521161FB5,미래L956한국항공콜
52L957,KRA521162FB3,미래L957현대로템콜
52L958,KRA521163FB1,미래L958현대로템콜
52L959,KRA521164FB9,미래L959현대로템콜
52L960,KRA521165FB6,미래L960알테오젠콜
52L961,KRA521166FB4,미래L961하나금융콜
52L962,KRA521167FB2,미래L962LIG넥스콜
52L963,KRA521168FB0,미래L963LIG넥스콜
52L964,KRA521169FB8,미래L964삼성물산콜
52L965,KRA521170FB6,미래L965삼성물산콜
52L966,KRA521171FB4,미래L966삼성물산콜
52L967,KRA521172FB2,미래L967SK콜
52L968,KRA521173FB0,미래L968SK콜
52L969,KRA521174FB8,미래L969삼양식품콜
52L970,KRA521175FB5,미래L970삼양식품콜
57L056,KRA571156F16,한국L056삼성전자콜
57L060,KRA571160F10,한국L060삼성전자콜
57L072,KRA571172F16,한국L072삼성전자콜
57L296,KRA571139F26,한국L296삼성전자콜
57L298,KRA571141F22,한국L298삼성전자콜
57L305,KRA571148F25,한국L305삼성전자콜
57L407,KRA571122F33,한국L407네이버콜
57L415,KRA571130F33,한국L415SK하이닉콜
57L426,KRA571141F30,한국L426SK하이닉콜
57L582,KRA571123F40,한국L582네이버콜
57L585,KRA571126F47,한국L585POSCO홀콜
57L586,KRA571127F46,한국L586POSCO홀콜
57L590,KRA571131F40,한국L590POSCO홀콜
57L594,KRA571135F46,한국L594SK하이닉콜
57L600,KRA571141F48,한국L600SK하이닉콜
57L615,KRA571156F40,한국L615SK하이닉콜
57L631,KRA571172F40,한국L631삼성전자콜
57L636,KRA571177F45,한국L636삼성전자콜
57L638,KRA571179F43,한국L638삼성전자콜
57L642,KRA571183F47,한국L642삼양식품콜
